Date,Omega,Alpha,Beta,Eta,d,Mu,FSI,VSTOXX
2015-04-15,0.7249528791170948,0.0019755129391625798,0.9301056095512006,0.12541540324049102,10.209283203812436,0.25934825804660544,0.005132256602714618,0.03863377974571686
2015-04-16,0.7026752036226248,0.0018683228579607486,0.9301697615173076,0.12548499636556026,10.189366232395573,0.26515989577016935,0.0027048518958119137,0.03960624341953617
2015-04-17,0.650773540967126,0.0018957389019800947,0.9299169112388428,0.12607264339268612,10.218462072347661,0.26088078439070644,-0.0065641793161582895,0.042556579863801854
2015-04-20,0.6434217956690812,0.0021051549439785266,0.9292818822838331,0.12709068170923354,10.225115455518486,0.2569748881436709,-0.009586747403820529,0.04370958768672802
2015-04-21,0.6434217513697306,0.0021051446201769022,0.9292808161062175,0.12709005844917848,10.225115363327944,0.25697475883745813,-0.009586743811981284,0.04370900341421097
2015-04-22,0.6435598432142284,0.002116876046078969,0.9295649579304217,0.12647508575546648,10.224913017178668,0.2559539851008244,-0.009534207322500638,0.043227280720767015
2015-04-23,0.6435415115017779,0.0021123761909823957,0.9297038481064926,0.12620623696751765,10.224901441287061,0.2561796293659767,-0.009469367637772121,0.0430374761159401
2015-04-24,0.6453753480392196,0.0018746627464212306,0.9300287095693114,0.12598135864065285,10.21507462583947,0.2617128067613875,-0.007955690797627025,0.042579194514013506
2015-04-27,0.6456609320544276,0.0018474080947048343,0.9300552353814697,0.12599001826966982,10.215404955001318,0.265404451758573,-0.008322302971290588,0.042354001699642985
2015-04-28,0.645670990370742,0.001789799106412527,0.9301679355162159,0.12585080098136672,10.215500712682704,0.2654380244943124,-0.008198326384174467,0.042242002158946745
2015-04-29,0.6421902705130265,0.0018051437157083666,0.9302552486217355,0.12560521292323437,10.241053110449975,0.2634747023402041,-0.008515172676250465,0.042326235331262924
2015-04-30,0.641992411698512,0.0017396697747877551,0.930295845545996,0.1257812522389218,10.241543826390226,0.26216522145896015,-0.00983637956426772,0.04224882114464711
2015-05-04,0.5945108616363659,0.00166219707775411,0.9303316352788809,0.1257219679545825,10.267026107489126,0.26278952623524826,-0.014282043161196752,0.04493905667506834
2015-05-05,0.6497034326919752,0.0016575278408631556,0.9304446705982237,0.12556997353316593,10.24611300900481,0.2648997023737357,-0.0075759100662635215,0.04171880095674109
2015-05-06,0.6238027141544302,0.00158156648620603,0.9303798150765201,0.12595634754767546,10.283021326734193,0.2620022117291696,-0.013186279470734336,0.04303443180594591
2015-05-07,0.6195773492162256,0.0015520494351997103,0.9305085741532513,0.12567639843220607,10.284172514295312,0.2653157006337765,-0.012671152772651182,0.043129380435842524
2015-05-08,0.6371359498807168,0.0014974362364484329,0.9306558849325203,0.125473926294194,10.255574593027761,0.27061083544374753,-0.009251830396930408,0.042032697833254834
2015-05-11,0.5175495471763661,0.001553684238245471,0.9302677333407732,0.12590794996262736,10.291771713657115,0.2718966692324935,-0.023213889311009248,0.049057883155280015
2015-05-12,0.6314904099519337,0.001490772756669159,0.9305296375385603,0.1257443191594364,10.262250211481687,0.27165853781443,-0.010470886435939583,0.042367945995785944
2015-05-13,0.6314914881197874,0.0014484127908773914,0.9306403964864488,0.12556794803416899,10.262310903730505,0.27147544525884154,-0.010177696971790206,0.04229617145583205
2015-05-14,0.63480627253068,0.001438861943868823,0.9306986364604141,0.12538320613822615,10.249509679127366,0.27566054378695,-0.008051947257789424,0.04218019741760984
2015-05-15,0.5620169204402852,0.0014962285992411609,0.9305061496222649,0.12548058618068486,10.247725556558201,0.27630537912566716,-0.015769533436357307,0.04647549974227071
2015-05-18,0.6516119474660399,0.001474295565416051,0.9306766750252005,0.12535821775370976,10.256632714701833,0.27367493261751963,-0.005666278810916559,0.041336460951429226
2015-05-19,0.651605314446848,0.0014776568026999006,0.9307043967600863,0.12525669273828982,10.256641854532496,0.27361682265280723,-0.005604566694429047,0.04131752979134049
