Date,Omega,Alpha,Beta,d,Mu
2015-04-15,1.1712432660647247,0.08320176412381884,0.9157982358761811,8.858616912368548,0.6061650776380566
2015-04-16,1.1720358580143642,0.08319263155579847,0.9158073679276557,8.839009943967888,0.6124376097327694
2015-04-17,1.1758677870670993,0.08313877371274714,0.915861227266684,8.86451168505058,0.6090287047626856
2015-04-20,1.1881089803660516,0.08345853756362355,0.915541465162417,8.881709057748314,0.6051903909840606
2015-04-21,1.1878433092270078,0.08340247223995362,0.9155975201937944,8.864391002138301,0.6051888357121139
2015-04-22,1.1825269697074285,0.08318068001079096,0.9158193230428476,8.886636301412787,0.6023034124140182
2015-04-23,1.1842117765099538,0.0832805038834609,0.9157194944405552,8.868769339397916,0.6079365367504921
2015-04-24,1.1789419689274216,0.08306518346297716,0.9159348182349332,8.868576483377195,0.6093686850999387
2015-04-27,1.1772803920978692,0.08304585229423479,0.9159541507011454,8.88534979499805,0.61309859236737
2015-04-28,1.1751867725188452,0.0829586131651209,0.9160413877713216,8.883026283272475,0.6136282844798504
2015-04-29,1.1722531071159703,0.08285579366284791,0.9161442136718615,8.901009434972464,0.6103822996163623
2015-04-30,1.1771837306631032,0.08292186798640279,0.9160781319455901,8.899176421297893,0.6096881946867003
2015-05-04,1.173343721368628,0.08276126568944087,0.9162387330470871,8.906286347597943,0.6108947572923313
2015-05-05,1.1711437575928272,0.08276776509609683,0.9162322390627379,8.895999692523754,0.6130153909282231
2015-05-06,1.1760631997887274,0.08279419178931684,0.9162058115071272,8.916061918554458,0.6105968046280219
2015-05-07,1.1729769700555186,0.0826684756269483,0.916331526544275,8.915510003488343,0.614379691212536
2015-05-08,1.1721278212680966,0.08260635262733372,0.9163936438956329,8.885798816047679,0.620393370942732
2015-05-11,1.1770012842518438,0.08273224614184083,0.9162677569358268,8.92692150734091,0.6228896707176393
2015-05-12,1.1724816233319488,0.08268153731342782,0.9163184644243654,8.906913014569694,0.6221054302602851
2015-05-13,1.1705212203116637,0.08262717993753807,0.9163728239245865,8.907293430306074,0.6219113862020856
2015-05-14,1.1700866986905347,0.08257478649925176,0.9164252116480769,8.877921048561909,0.6270522448634294
2015-05-15,1.170089103475691,0.08256666271996921,0.916433335427388,8.877921585671285,0.6270535143946794
2015-05-18,1.1701656280015078,0.08262858709976253,0.9163714079322032,8.882427281863748,0.6245876103246913
2015-05-19,1.167707200998157,0.08261978259820385,0.9163802154922657,8.886456732769227,0.622331340558446
2015-05-20,1.1667750296393387,0.08256749783988,0.9164325052992247,8.922345910639805,0.6275243118608457
2015-05-21,1.1667023716786444,0.08258600125686757,0.9164140013433213,8.890541914256046,0.632608651998773
2015-05-22,1.1685887048895074,0.08266751687886693,0.9163324830575125,8.891778983615986,0.6295018272869531
2015-05-26,1.1671651828086054,0.08272213301227958,0.9162778700597105,8.875131107745975,0.6317028608821175
2015-05-27,1.1679583943698328,0.08230199379001145,0.9166980109708895,8.8451733179244,0.6206378083518285
2015-05-28,1.178042086016781,0.08258164485345577,0.9164183602540935,8.894800692649273,0.624237170562686
2015-05-29,1.1705296667281366,0.08243090253699105,0.9165690939201229,8.884458218771954,0.6191477526821905
2015-06-01,1.1705318762007928,0.08243960004728319,0.9165603964108837,8.884459036643047,0.6191493518032842
2015-06-02,1.172720051240983,0.08242546074163516,0.9165745393701602,8.860268955864976,0.6143126410239877
2015-06-03,1.1751439683046783,0.08248649753737566,0.9165135090805047,8.858938070958397,0.6132825998946833
2015-06-04,1.1712885518134795,0.08241625816546887,0.9165837355743874,8.86357328732754,0.616471625027595
2015-06-05,1.1671101246249673,0.08235769242437942,0.9166423036624021,8.869313611885318,0.6130955252519815
2015-06-08,1.168049310985136,0.08237477705189075,0.9166252236777154,8.900550651795657,0.607544251726851
2015-06-09,1.1680604043266094,0.08240718375693512,0.9165928179664176,8.910944300221555,0.602217701913416
2015-06-10,1.167378955848283,0.082428280256368,0.9165717156144577,8.897593430263733,0.6048130646965417
2015-06-11,1.168962901979862,0.08245506651032838,0.9165449322697149,8.935014802742057,0.6082693401739999
2015-06-12,1.1661858715535869,0.08245292790239829,0.9165470601362834,8.930593467110317,0.6125207279997515
